customer_id,age,income,previous_purchases,campaign_response,customer_tenure_days,channel,avg_basket_size,discount,purchase
1053,41,28100.0,2,0.106,82,in_store,18.61,15,0
2991,48,53100.0,5,0.206,483,in_store,44.66,0,0
1789,44,26400.0,4,0.137,1,online,28.27,0,1
765,44,43000.0,3,0.109,649,online,38.5,0,1
3248,24,17100.0,0,0.0,305,in_store,44.09,0,1
1102,47,39700.0,6,0.176,395,online,42.07,20,0
1666,32,35800.0,1,0.084,461,online,27.52,20,0
280,43,77100.0,0,0.0,207,in_store,49.98,0,1
3194,26,27200.0,0,0.06,496,online,37.59,0,1
4045,28,38500.0,0,0.127,317,online,46.56,10,0
2345,50,60700.0,3,0.133,1046,in_store,56.4,0,0
3306,46,57400.0,3,0.014,433,online,34.76,25,0
4619,73,47700.0,2,0.158,1,in_store,34.16,0,0
1695,25,27400.0,0,0.0,511,online,40.04,0,1
1663,39,15000.0,3,0.057,445,in_store,39.46,0,1
2112,46,64500.0,4,0.086,1,in_store,57.52,30,0
4518,38,45500.0,3,0.14,1,online,44.66,15,0
890,20,27900.0,0,0.049,365,online,33.36,0,0
4461,45,55000.0,3,0.017,153,in_store,55.73,0,1
3356,18,15000.0,1,0.022,393,in_store,36.41,0,1
2019,47,38200.0,2,0.022,715,online,34.43,0,0
2727,29,34400.0,2,0.11,296,online,28.02,0,1
158,52,61200.0,3,0.123,375,in_store,45.71,15,0
4013,48,45400.0,2,0.168,585,in_store,45.87,15,0
3626,64,73700.0,3,0.078,159,online,47.37,15,1
2092,48,25700.0,5,0.061,241,in_store,21.9,0,0
3968,27,31900.0,0,0.0,73,in_store,32.28,0,0
4268,44,47300.0,2,0.182,294,online,40.13,0,0
1095,32,46800.0,0,0.013,414,in_store,35.43,0,1
3912,69,42500.0,3,0.197,853,online,19.07,0,1
3258,60,48300.0,6,0.146,438,online,23.1,0,0
4231,54,61700.0,1,0.163,390,in_store,48.69,0,0
706,28,40400.0,0,0.085,71,online,31.15,0,0
600,19,25700.0,1,0.081,66,in_store,47.79,25,0
2570,46,57900.0,1,0.031,1,in_store,47.01,15,1
3989,54,40200.0,4,0.093,874,online,37.73,25,1
2835,46,67500.0,0,0.196,277,in_store,46.58,0,0
2239,29,65300.0,1,0.112,154,online,49.09,10,0
4563,44,45400.0,0,0.03,284,online,42.4,0,1
1783,18,15000.0,1,0.0,731,in_store,18.36,0,0
2814,34,51900.0,4,0.275,284,online,53.4,5,1
2842,53,18700.0,0,0.01,481,in_store,34.68,0,0
3955,40,53000.0,4,0.126,536,online,26.47,25,1
