customer_id,optimal_discount,discount_fraction,predicted_revenue,marketing_cost
1053,0.0,0.0,9.07,0.0
2991,0.0,0.0,21.76,0.0
1789,5.0,0.05,13.81,1.41
765,5.0,0.05,18.79,1.93
3248,0.0,0.0,21.48,0.0
1102,5.0,0.05,20.53,2.1
1666,0.0,0.0,13.41,0.0
280,0.0,0.0,24.35,0.0
3194,0.0,0.0,18.31,0.0
4045,0.0,0.0,22.68,0.0
2345,5.0,0.05,27.55,2.82
3306,0.0,0.0,16.93,0.0
4619,5.0,0.05,16.69,1.71
1695,0.0,0.0,19.51,0.0
1663,5.0,0.05,19.26,1.97
2112,0.0,0.0,28.02,0.0
4518,0.0,0.0,21.76,0.0
890,5.0,0.05,16.28,1.67
4461,0.0,0.0,27.15,0.0
3356,0.0,0.0,17.74,0.0
2019,5.0,0.05,16.8,1.72
2727,0.0,0.0,13.65,0.0
158,0.0,0.0,22.27,0.0
4013,0.0,0.0,22.35,0.0
3626,0.0,0.0,23.08,0.0
2092,5.0,0.05,10.69,1.09
3968,5.0,0.05,15.78,1.61
4268,5.0,0.05,19.61,2.01
1095,0.0,0.0,17.26,0.0
3912,10.0,0.1,9.34,1.91
3258,0.0,0.0,11.25,0.0
4231,5.0,0.05,23.77,2.43
706,0.0,0.0,15.18,0.0
600,0.0,0.0,23.28,0.0
2570,0.0,0.0,22.9,0.0
3989,0.0,0.0,18.38,0.0
2835,0.0,0.0,22.69,0.0
2239,0.0,0.0,23.92,0.0
4563,0.0,0.0,20.66,0.0
1783,0.0,0.0,8.94,0.0
2814,5.0,0.05,26.07,2.67
2842,0.0,0.0,16.9,0.0
3955,15.0,0.15,13.0,3.97
228,0.0,0.0,18.65,0.0
4416,0.0,0.0,10.86,0.0
3135,0.0,0.0,22.07,0.0
4678,0.0,0.0,21.38,0.0
3495,0.0,0.0,19.1,0.0
4513,0.0,0.0,22.98,0.0
241,0.0,0.0,18.44,0.0
732,0.0,0.0,22.1,0.0
30,0.0,0.0,16.91,0.0
107,20.0,0.2,9.15,3.71
4802,5.0,0.05,10.41,1.07
3881,0.0,0.0,23.77,0.0
1845,0.0,0.0,18.78,0.0
3472,0.0,0.0,12.58,0.0
2374,0.0,0.0,17.2,0.0
4858,5.0,0.05,16.52,1.69
1169,5.0,0.05,17.07,1.75
2158,0.0,0.0,14.97,0.0
2816,0.0,0.0,18.23,0.0
799,0.0,0.0,18.55,0.0
3987,10.0,0.1,13.4,2.74
66,5.0,0.05,20.85,2.14
2700,0.0,0.0,11.21,0.0
1505,0.0,0.0,19.7,0.0
180,0.0,0.0,16.26,0.0
1422,0.0,0.0,24.27,0.0
625,20.0,0.2,15.67,6.36
24,5.0,0.05,11.84,1.21
2060,5.0,0.05,19.09,1.96
682,0.0,0.0,24.05,0.0
1631,20.0,0.2,12.77,5.18
1091,0.0,0.0,19.47,0.0
502,5.0,0.05,14.68,1.5
4444,0.0,0.0,13.02,0.0
229,0.0,0.0,17.62,0.0
4138,0.0,0.0,21.54,0.0
4639,20.0,0.2,13.57,5.51
3788,0.0,0.0,24.7,0.0
2221,5.0,0.05,18.47,1.89
3711,5.0,0.05,20.57,2.11
1413,15.0,0.15,7.61,2.31
2684,5.0,0.05,11.88,1.22
85,0.0,0.0,15.5,0.0
4455,10.0,0.1,26.66,5.45
4587,0.0,0.0,22.38,0.0
4309,5.0,0.05,19.19,1.97
2379,0.0,0.0,17.78,0.0
2697,10.0,0.1,20.29,4.14
1210,5.0,0.05,18.23,1.86
2766,5.0,0.05,15.83,1.62
334,0.0,0.0,16.81,0.0
2093,5.0,0.05,19.71,2.02
200,5.0,0.05,14.57,1.49
2883,0.0,0.0,22.97,0.0
1433,15.0,0.15,12.28,3.75
808,0.0,0.0,17.0,0.0
4195,15.0,0.15,17.18,5.25
3436,5.0,0.05,18.89,1.93
3574,5.0,0.05,19.47,2.0
1030,0.0,0.0,19.64,0.0
3493,0.0,0.0,24.12,0.0
1520,5.0,0.05,13.49,1.38
4849,15.0,0.15,12.12,3.7
1955,0.0,0.0,21.6,0.0
2405,0.0,0.0,25.55,0.0
4310,0.0,0.0,8.85,0.0
4131,0.0,0.0,21.1,0.0
2122,10.0,0.1,13.24,2.7
80,5.0,0.05,13.02,1.33
4293,5.0,0.05,14.22,1.46
3292,0.0,0.0,23.66,0.0
3045,20.0,0.2,17.52,7.12
4733,0.0,0.0,17.09,0.0
3167,5.0,0.05,15.51,1.59
4542,30.0,0.3,13.82,8.38
2074,10.0,0.1,15.09,3.08
734,0.0,0.0,17.01,0.0
3952,0.0,0.0,18.01,0.0
3434,0.0,0.0,15.73,0.0
2219,5.0,0.05,14.85,1.52
1742,0.0,0.0,23.19,0.0
297,10.0,0.1,13.36,2.73
