customer_id,assigned_discount,predicted_revenue
1053.0,0.0,9.07
2991.0,0.0,21.76
1789.0,5.0,13.81
765.0,5.0,18.79
3248.0,0.0,21.48
1102.0,5.0,20.53
1666.0,0.0,13.41
280.0,0.0,24.35
3194.0,0.0,18.31
4045.0,0.0,22.68
2345.0,5.0,27.55
3306.0,0.0,16.93
4619.0,5.0,16.69
1695.0,0.0,19.51
1663.0,5.0,19.26
2112.0,0.0,28.02
4518.0,0.0,21.76
890.0,5.0,16.28
4461.0,0.0,27.15
3356.0,0.0,17.74
2019.0,5.0,16.8
2727.0,0.0,13.65
158.0,0.0,22.27
4013.0,0.0,22.35
3626.0,0.0,23.08
2092.0,5.0,10.69
3968.0,5.0,15.78
4268.0,5.0,19.61
1095.0,0.0,17.26
3912.0,10.0,9.34
3258.0,0.0,11.25
4231.0,5.0,23.77
706.0,0.0,15.18
600.0,0.0,23.28
2570.0,0.0,22.9
3989.0,0.0,18.38
2835.0,0.0,22.69
2239.0,0.0,23.92
4563.0,0.0,20.66
1783.0,0.0,8.94
2814.0,5.0,26.07
2842.0,0.0,16.9
3955.0,15.0,13.0
228.0,0.0,18.65
4416.0,0.0,10.86
3135.0,0.0,22.07
4678.0,0.0,21.38
3495.0,0.0,19.1
4513.0,0.0,22.98
241.0,0.0,18.44
732.0,0.0,22.1
30.0,0.0,16.91
107.0,20.0,9.15
4802.0,5.0,10.41
3881.0,0.0,23.77
1845.0,0.0,18.78
3472.0,0.0,12.58
2374.0,0.0,17.2
4858.0,5.0,16.52
1169.0,5.0,17.07
2158.0,0.0,14.97
2816.0,0.0,18.23
799.0,0.0,18.55
3987.0,10.0,13.4
66.0,5.0,20.85
2700.0,0.0,11.21
1505.0,0.0,19.7
180.0,0.0,16.26
1422.0,0.0,24.27
625.0,20.0,15.67
24.0,5.0,11.84
2060.0,5.0,19.09
682.0,0.0,24.05
1631.0,20.0,12.77
1091.0,0.0,19.47
502.0,5.0,14.68
4444.0,0.0,13.02
229.0,0.0,17.62
4138.0,0.0,21.54
4639.0,20.0,13.57
3788.0,0.0,24.7
2221.0,5.0,18.47
3711.0,5.0,20.57
1413.0,15.0,7.61
2684.0,5.0,11.88
85.0,0.0,15.5
4455.0,10.0,26.66
4587.0,0.0,22.38
4309.0,5.0,19.19
2379.0,0.0,17.78
2697.0,10.0,20.29
1210.0,5.0,18.23
2766.0,5.0,15.83
334.0,0.0,16.81
2093.0,5.0,19.71
200.0,5.0,14.57
2883.0,0.0,22.97
1433.0,15.0,12.28
808.0,0.0,17.0
4195.0,15.0,17.18
3436.0,5.0,18.89
3574.0,5.0,19.47
1030.0,0.0,19.64
3493.0,0.0,24.12
1520.0,5.0,13.49
4849.0,15.0,12.12
1955.0,0.0,21.6
2405.0,0.0,25.55
4310.0,0.0,8.85
4131.0,0.0,21.1
2122.0,10.0,13.24
80.0,5.0,13.02
4293.0,5.0,14.22
3292.0,0.0,23.66
3045.0,20.0,17.52
4733.0,0.0,17.09
3167.0,5.0,15.51
4542.0,30.0,13.82
2074.0,10.0,15.09
734.0,0.0,17.01
3952.0,0.0,18.01
3434.0,0.0,15.73
2219.0,5.0,14.85
1742.0,0.0,23.19
297.0,10.0,13.36
3560.0,0.0,19.54
712.0,15.0,14.5
897.0,5.0,16.54
3950.0,5.0,19.88
374.0,0.0,21.04
1558.0,5.0,19.73
4149.0,5.0,19.71
1500.0,0.0,26.08
4618.0,0.0,9.53
472.0,30.0,9.01
1035.0,0.0,18.3
1515.0,5.0,9.42
4237.0,0.0,22.57
1733.0,0.0,20.25
1271.0,0.0,25.68
3935.0,0.0,31.69
4437.0,5.0,19.33
4419.0,5.0,18.33
2586.0,5.0,20.3
3636.0,0.0,21.35
656.0,0.0,15.48
1293.0,5.0,18.49
4752.0,0.0,27.16
427.0,0.0,23.29
2421.0,0.0,19.05
2136.0,0.0,24.99
1075.0,0.0,20.5
4840.0,5.0,23.87
1323.0,0.0,20.45
415.0,0.0,25.15
2485.0,0.0,20.5
2147.0,0.0,23.73
590.0,5.0,16.62
169.0,0.0,23.04
3519.0,0.0,22.4
