age,income,previous_purchases,customer_tenure_days,avg_basket_size,discount,campaign_response,channel,purchase
41,28100.0,2,82,18.61,15,0.106,in_store,0
48,53100.0,5,483,44.66,0,0.206,in_store,0
44,26400.0,4,1,28.27,0,0.137,online,1
44,43000.0,3,649,38.5,0,0.109,online,1
24,17100.0,0,305,44.09,0,0.0,in_store,1
47,39700.0,6,395,42.07,20,0.176,online,0
32,35800.0,1,461,27.52,20,0.084,online,0
43,77100.0,0,207,49.98,0,0.0,in_store,1
26,27200.0,0,496,37.59,0,0.06,online,1
28,38500.0,0,317,46.56,10,0.127,online,0
50,60700.0,3,1046,56.4,0,0.133,in_store,0
46,57400.0,3,433,34.76,25,0.014,online,0
73,47700.0,2,1,34.16,0,0.158,in_store,0
25,27400.0,0,511,40.04,0,0.0,online,1
39,15000.0,3,445,39.46,0,0.057,in_store,1
46,64500.0,4,1,57.52,30,0.086,in_store,0
38,45500.0,3,1,44.66,15,0.14,online,0
20,27900.0,0,365,33.36,0,0.049,online,0
45,55000.0,3,153,55.73,0,0.017,in_store,1
18,15000.0,1,393,36.41,0,0.022,in_store,1
47,38200.0,2,715,34.43,0,0.022,online,0
29,34400.0,2,296,28.02,0,0.11,online,1
52,61200.0,3,375,45.71,15,0.123,in_store,0
48,45400.0,2,585,45.87,15,0.168,in_store,0
64,73700.0,3,159,47.37,15,0.078,online,1
48,25700.0,5,241,21.9,0,0.061,in_store,0
27,31900.0,0,73,32.28,0,0.0,in_store,0
44,47300.0,2,294,40.13,0,0.182,online,0
32,46800.0,0,414,35.43,0,0.013,in_store,1
69,42500.0,3,853,19.07,0,0.197,online,1
60,48300.0,6,438,23.1,0,0.146,online,0
54,61700.0,1,390,48.69,0,0.163,in_store,0
28,40400.0,0,71,31.15,0,0.085,online,0
19,25700.0,1,66,47.79,25,0.081,in_store,0
46,57900.0,1,1,47.01,15,0.031,in_store,1
54,40200.0,4,874,37.73,25,0.093,online,1
46,67500.0,0,277,46.58,0,0.196,in_store,0
29,65300.0,1,154,49.09,10,0.112,online,0
44,45400.0,0,284,42.4,0,0.03,online,1
18,15000.0,1,731,18.36,0,0.0,in_store,0
34,51900.0,4,284,53.4,5,0.275,online,1
53,18700.0,0,481,34.68,0,0.01,in_store,0
40,53000.0,4,536,26.47,25,0.126,online,1
63,57400.0,2,364,38.29,20,0.099,in_store,0
30,23400.0,3,224,22.29,10,0.052,online,0
34,50900.0,3,427,45.31,15,0.167,online,1
50,63300.0,5,93,43.88,15,0.122,online,1
57,51100.0,2,358,39.2,0,0.0,in_store,0
55,80200.0,6,546,47.17,15,0.204,in_store,0
29,50400.0,2,1,37.86,25,0.093,online,0
41,46600.0,1,305,45.37,0,0.0,in_store,1
45,20600.0,1,474,34.72,0,0.063,online,0
29,51100.0,2,576,18.55,20,0.135,in_store,1
47,30200.0,4,367,21.32,5,0.11,in_store,1
34,33700.0,1,407,48.8,5,0.012,online,0
24,29300.0,0,286,38.54,20,0.0,online,0
36,34900.0,2,12,25.83,10,0.0,online,0
59,45600.0,2,110,35.3,10,0.0,in_store,1
32,46600.0,1,8,33.8,25,0.141,in_store,1
35,40900.0,1,24,34.96,0,0.095,in_store,0
30,42200.0,0,247,30.72,0,0.105,online,1
34,15000.0,1,466,37.42,0,0.082,in_store,0
52,42200.0,4,302,38.08,15,0.097,online,1
27,26500.0,1,467,27.39,0,0.192,in_store,0
50,57800.0,4,208,42.72,5,0.267,in_store,1
30,48200.0,0,246,23.02,25,0.015,in_store,0
37,45700.0,3,584,40.44,0,0.19,in_store,1
43,37500.0,0,501,33.38,0,0.102,in_store,1
37,52900.0,3,168,49.81,0,0.086,online,0
46,42300.0,1,1,31.78,0,0.192,online,0
38,28300.0,1,1,24.25,0,0.0,online,0
27,36700.0,0,59,39.11,0,0.318,in_store,0
48,79400.0,6,519,49.37,20,0.102,in_store,1
25,40000.0,1,240,25.91,0,0.2,online,0
33,43800.0,2,456,39.96,0,0.057,in_store,0
51,19700.0,0,1,30.05,0,0.0,in_store,0
28,17800.0,0,314,26.73,0,0.0,online,0
30,43900.0,0,491,36.17,0,0.0,online,0
42,45200.0,1,238,44.22,0,0.134,in_store,1
34,24500.0,0,108,27.56,0,0.189,in_store,0
41,71400.0,1,1,50.7,25,0.0,in_store,1
41,55900.0,1,58,37.86,20,0.111,in_store,0
46,29400.0,1,603,42.17,0,0.0,online,0
21,17100.0,1,1,15.43,10,0.24,online,1
32,15000.0,0,478,24.34,25,0.054,in_store,1
26,46300.0,3,135,31.82,15,0.113,in_store,1
47,69900.0,3,606,54.45,0,0.133,in_store,0
46,65700.0,0,385,45.93,25,0.032,in_store,0
44,45400.0,4,849,39.32,5,0.077,in_store,1
41,25900.0,1,322,36.5,0,0.117,online,0
46,40500.0,6,759,41.42,0,0.152,online,0
44,38900.0,2,368,37.3,0,0.166,online,0
32,39200.0,0,1,32.4,0,0.15,in_store,0
28,62300.0,0,42,34.51,0,0.119,online,1
42,59300.0,0,136,40.39,20,0.024,in_store,1
38,40700.0,2,417,29.85,0,0.189,online,0
49,52600.0,1,339,47.14,0,0.066,in_store,1
30,35400.0,2,687,24.99,0,0.111,in_store,0
25,32700.0,0,193,34.89,0,0.018,in_store,1
55,27900.0,4,643,35.02,15,0.179,online,1
46,62400.0,6,361,38.66,0,0.248,online,1
39,29500.0,4,915,39.9,0,0.074,online,1
53,21500.0,1,364,40.32,0,0.187,in_store,1
37,50200.0,3,1,49.52,10,0.112,online,0
18,33300.0,1,502,27.63,0,0.086,online,0
31,23800.0,0,1,24.64,20,0.052,online,1
43,44400.0,1,239,44.33,0,0.125,online,1
30,80500.0,6,575,52.45,15,0.098,in_store,1
18,15000.0,0,389,18.16,0,0.031,in_store,0
52,55200.0,3,1,43.31,0,0.097,in_store,0
41,48600.0,3,266,27.02,0,0.239,in_store,0
36,32300.0,2,868,26.67,15,0.089,online,0
30,15000.0,1,541,29.14,0,0.059,in_store,0
43,71000.0,2,266,48.56,30,0.052,in_store,0
42,39000.0,1,185,35.58,10,0.212,online,1
67,46000.0,0,174,35.07,10,0.092,in_store,0
29,37200.0,1,242,31.75,0,0.122,in_store,0
43,38100.0,6,264,27.93,15,0.225,online,1
37,44000.0,2,68,30.8,30,0.096,online,1
38,44600.0,0,425,34.92,30,0.186,in_store,0
69,80000.0,6,504,36.97,25,0.334,in_store,0
41,43500.0,1,481,32.29,15,0.121,in_store,1
32,38500.0,0,24,30.42,0,0.093,in_store,0
58,80100.0,3,733,47.61,15,0.113,in_store,1
44,37100.0,1,1,27.33,10,0.019,in_store,1
30,31000.0,2,498,40.1,15,0.064,in_store,0
48,15000.0,2,853,29.51,15,0.016,in_store,1
32,48400.0,3,107,33.86,30,0.187,in_store,1
40,62700.0,3,404,40.75,0,0.066,online,0
50,43000.0,4,564,43.19,0,0.129,in_store,1
49,48200.0,2,478,40.44,0,0.109,online,0
39,45900.0,3,1,40.36,10,0.022,in_store,0
26,69000.0,3,415,53.53,0,0.095,in_store,1
28,40400.0,2,252,19.56,30,0.077,in_store,1
35,34700.0,2,565,18.13,0,0.146,in_store,0
34,36700.0,3,363,37.56,20,0.093,online,0
20,15000.0,0,1,19.29,10,0.058,in_store,0
42,59000.0,2,16,46.33,10,0.123,in_store,0
37,38300.0,3,590,41.57,20,0.142,online,0
58,63600.0,4,119,52.71,10,0.143,in_store,1
45,73100.0,8,511,65.04,25,0.206,in_store,1
35,28500.0,5,284,39.61,0,0.17,in_store,1
44,58900.0,2,17,37.56,0,0.005,online,1
52,46900.0,1,190,41.6,0,0.105,online,0
25,38300.0,0,940,43.83,0,0.081,online,0
44,45600.0,0,482,31.78,25,0.138,online,0
35,43500.0,0,110,37.86,25,0.163,in_store,1
43,70300.0,1,475,55.76,25,0.045,online,1
50,42100.0,3,1,47.8,20,0.179,online,0
18,33200.0,1,482,39.1,25,0.164,online,1
36,80200.0,1,1,51.29,0,0.063,in_store,0
29,38900.0,1,111,42.08,0,0.16,online,0
45,57300.0,5,626,48.9,0,0.114,in_store,0
40,46900.0,1,432,41.98,0,0.093,in_store,1
37,63700.0,4,565,51.62,25,0.0,online,1
39,38800.0,1,1,42.08,20,0.063,online,1
29,61800.0,2,252,48.71,0,0.142,in_store,1
59,43800.0,4,267,34.05,0,0.139,online,1
38,59200.0,3,1,47.3,0,0.135,online,1
40,46800.0,7,617,45.98,30,0.269,in_store,1
55,72400.0,5,309,47.21,15,0.318,in_store,1
49,55100.0,1,1,46.28,20,0.004,online,1
42,47300.0,3,358,55.94,15,0.23,in_store,1
43,43200.0,1,1,44.15,0,0.177,online,0
40,33200.0,2,224,21.19,20,0.094,online,1
24,16000.0,0,443,16.4,0,0.0,online,1
36,51400.0,5,853,30.71,0,0.106,online,1
47,63300.0,2,181,58.37,30,0.049,in_store,1
30,15000.0,2,60,11.54,0,0.129,online,0
42,41800.0,2,403,47.8,0,0.171,in_store,1
22,55200.0,2,584,37.58,15,0.221,online,0
36,42000.0,2,172,33.22,0,0.061,in_store,1
45,47900.0,3,2,33.08,20,0.057,in_store,0
44,39600.0,1,124,23.96,0,0.0,in_store,0
28,35800.0,2,248,35.0,0,0.247,online,0
24,56400.0,0,1,37.86,30,0.08,online,0
58,32700.0,1,155,46.84,15,0.048,online,1
29,46000.0,0,352,28.26,20,0.082,online,0
39,24400.0,3,982,14.0,25,0.026,online,0
47,74100.0,1,282,54.94,15,0.078,online,1
21,25600.0,0,354,27.94,30,0.134,in_store,0
46,64700.0,1,77,57.57,10,0.161,online,1
33,46300.0,2,213,34.83,0,0.0,online,1
41,15000.0,1,248,30.75,0,0.0,online,0
55,51200.0,0,284,60.94,20,0.05,online,1
58,53200.0,1,13,42.61,0,0.038,in_store,0
57,42700.0,8,972,26.17,15,0.224,online,1
63,61500.0,1,1,47.53,0,0.0,online,1
38,26500.0,1,330,28.9,20,0.021,online,1
50,58800.0,2,603,42.92,0,0.0,in_store,0
57,36900.0,3,143,28.97,20,0.112,in_store,1
36,31800.0,1,1,30.53,0,0.087,online,0
40,31100.0,2,348,38.12,0,0.035,in_store,1
38,44500.0,3,218,51.26,0,0.199,online,1
35,28700.0,2,1,31.62,0,0.127,in_store,0
50,73300.0,6,674,53.81,15,0.244,online,0
32,38900.0,2,137,35.03,30,0.018,in_store,1
21,24600.0,3,1,26.01,0,0.206,in_store,0
36,50100.0,2,431,50.86,0,0.0,online,0
47,48500.0,2,1,35.24,0,0.182,in_store,0
46,58300.0,1,226,42.44,0,0.203,in_store,1
48,54000.0,3,201,55.78,10,0.189,in_store,1
32,27800.0,2,363,24.03,0,0.16,in_store,1
41,63000.0,2,441,40.65,15,0.155,online,1
27,49300.0,4,150,37.52,0,0.078,online,0
49,46800.0,1,1,37.61,25,0.156,in_store,1
36,17200.0,1,338,27.04,0,0.051,in_store,0
51,42200.0,1,130,25.59,10,0.077,in_store,0
44,56300.0,2,291,42.77,0,0.017,in_store,0
51,43700.0,5,955,26.04,10,0.149,online,1
55,42800.0,3,1,51.33,15,0.148,in_store,0
47,60600.0,2,113,41.9,0,0.11,online,1
45,48100.0,3,673,43.91,0,0.112,in_store,0
36,48900.0,1,1,54.13,0,0.031,in_store,0
29,48900.0,1,304,50.06,0,0.0,in_store,1
24,37300.0,1,321,37.92,0,0.157,online,1
37,50400.0,0,575,47.52,0,0.065,in_store,1
49,40400.0,0,1,39.45,30,0.0,in_store,0
39,23500.0,4,498,21.26,0,0.11,in_store,0
53,43400.0,4,593,23.71,20,0.177,in_store,0
70,63800.0,5,1,49.13,0,0.159,in_store,0
32,53700.0,3,673,34.04,0,0.03,online,1
36,35500.0,0,337,35.53,0,0.2,in_store,1
44,58100.0,4,1064,56.86,0,0.057,online,1
36,51200.0,0,32,38.35,0,0.143,in_store,0
54,54900.0,2,534,52.48,15,0.055,in_store,0
45,47800.0,4,493,39.48,0,0.032,in_store,1
34,41700.0,3,225,40.48,10,0.104,online,1
75,74800.0,3,158,53.07,25,0.069,in_store,0
30,37600.0,3,377,45.11,20,0.072,online,0
47,45400.0,3,44,29.18,0,0.052,online,0
35,41500.0,0,1,32.15,5,0.039,in_store,1
33,26300.0,1,1,27.1,0,0.049,online,0
34,30200.0,1,71,14.66,15,0.0,online,1
40,63200.0,1,682,61.82,20,0.152,in_store,1
35,47900.0,1,58,47.04,0,0.144,in_store,1
24,37200.0,3,200,19.38,5,0.0,online,0
42,29000.0,2,1,27.83,0,0.012,in_store,0
57,54700.0,2,224,45.24,0,0.125,online,1
19,38900.0,1,278,27.99,0,0.154,online,0
39,69300.0,4,1022,45.37,15,0.148,online,0
33,57900.0,0,23,38.86,0,0.105,online,0
57,76000.0,2,24,44.64,20,0.172,online,0
40,68300.0,2,258,54.69,0,0.0,in_store,1
53,63700.0,3,389,35.33,0,0.083,in_store,1
35,58000.0,0,242,46.55,0,0.0,online,0
22,45800.0,2,140,42.89,20,0.072,in_store,1
26,23800.0,2,1,22.37,0,0.003,online,0
40,55700.0,3,511,40.44,25,0.195,in_store,1
37,42300.0,1,1,32.91,25,0.005,online,0
53,77800.0,9,525,51.08,15,0.274,online,0
32,15000.0,0,104,18.55,5,0.032,in_store,0
39,30200.0,2,546,20.2,20,0.084,in_store,1
47,48200.0,2,459,52.17,15,0.128,online,0
61,53300.0,7,690,51.4,0,0.241,in_store,1
34,34600.0,1,1,20.06,0,0.199,online,0
30,34700.0,0,164,30.88,20,0.0,in_store,0
46,51600.0,4,461,54.05,0,0.11,in_store,1
43,56100.0,1,1,43.9,20,0.0,online,0
28,32200.0,2,571,39.44,0,0.136,online,0
22,15000.0,2,1,15.11,20,0.238,in_store,0
37,40500.0,2,658,36.48,0,0.061,in_store,1
33,45900.0,0,326,39.67,20,0.068,online,1
32,50200.0,2,432,45.7,5,0.188,online,1
44,63800.0,4,289,61.52,10,0.18,online,1
41,30000.0,4,252,37.26,20,0.276,online,1
46,75700.0,2,316,40.34,5,0.18,in_store,1
45,38500.0,0,188,36.49,15,0.0,online,0
32,62600.0,2,313,40.81,25,0.176,in_store,1
24,27200.0,3,306,31.97,0,0.0,online,0
40,59700.0,2,57,59.52,0,0.032,in_store,0
33,37800.0,3,207,22.99,20,0.069,in_store,0
35,45400.0,1,355,45.82,0,0.089,online,0
29,40000.0,1,153,39.17,0,0.053,in_store,0
52,51700.0,1,1,35.06,20,0.0,online,1
59,81000.0,3,178,47.21,0,0.147,online,0
49,53600.0,4,624,39.15,15,0.169,online,1
38,42500.0,3,57,19.95,5,0.141,in_store,1
45,75500.0,4,197,50.73,0,0.219,in_store,0
42,27200.0,0,81,47.4,0,0.0,online,1
49,28100.0,4,25,35.5,0,0.102,in_store,1
34,38800.0,1,1,27.89,25,0.173,online,0
31,55200.0,4,557,38.02,0,0.024,in_store,1
41,24900.0,1,254,40.51,10,0.138,in_store,0
53,60100.0,1,494,38.66,20,0.13,online,1
59,60600.0,5,383,39.76,0,0.124,online,1
25,43100.0,1,564,23.5,0,0.0,online,1
18,44100.0,1,219,28.17,0,0.125,online,1
46,40600.0,1,196,45.85,10,0.141,in_store,1
18,46400.0,1,171,37.5,0,0.211,online,0
23,40700.0,2,198,36.12,10,0.11,online,0
33,67100.0,2,1,54.55,0,0.009,in_store,0
29,47200.0,1,340,36.01,0,0.128,online,1
37,40500.0,2,161,25.74,0,0.16,in_store,0
31,31500.0,0,181,42.35,10,0.0,online,1
33,47500.0,1,384,44.67,20,0.099,online,0
23,20500.0,1,393,30.17,0,0.166,in_store,0
48,49800.0,2,49,35.71,0,0.178,online,1
32,65600.0,3,386,49.59,0,0.125,in_store,1
38,40800.0,4,598,39.27,0,0.094,online,1
34,49000.0,7,186,24.89,5,0.35,online,1
47,41900.0,2,70,33.96,20,0.082,in_store,0
50,31200.0,0,158,21.01,25,0.082,online,1
46,37200.0,3,786,30.5,0,0.0,in_store,0
41,61500.0,0,340,38.68,5,0.0,online,1
49,43400.0,2,62,30.83,0,0.18,online,1
32,38500.0,0,372,33.97,0,0.031,online,1
44,15000.0,1,1,7.39,15,0.104,online,0
27,15000.0,1,601,27.88,0,0.0,in_store,1
55,48800.0,1,202,46.61,0,0.058,in_store,1
48,51200.0,4,708,51.86,0,0.16,online,0
28,27300.0,0,356,29.03,0,0.0,online,0
30,45400.0,3,66,21.74,0,0.0,online,1
45,62600.0,3,333,43.59,25,0.06,in_store,1
36,58600.0,1,256,41.03,25,0.031,in_store,1
34,70900.0,1,56,40.04,0,0.0,in_store,1
18,38900.0,1,42,38.95,20,0.163,in_store,1
40,18200.0,1,1,30.93,25,0.104,online,0
41,34600.0,0,111,33.92,0,0.269,in_store,1
49,47200.0,5,170,35.23,10,0.015,in_store,0
44,37900.0,4,293,39.46,0,0.121,in_store,1
44,58300.0,2,30,41.84,25,0.069,in_store,0
43,41000.0,5,629,30.3,0,0.269,online,1
53,47900.0,2,267,38.36,25,0.116,in_store,1
54,42400.0,3,596,36.25,15,0.11,in_store,1
18,78100.0,3,395,41.99,0,0.092,in_store,0
37,74000.0,5,653,45.46,15,0.248,in_store,0
28,34600.0,1,216,44.21,5,0.185,in_store,0
22,35500.0,4,1,39.75,0,0.148,in_store,0
51,57200.0,3,130,38.29,25,0.054,in_store,1
