customer_id,order_value,ITE,segment,discount_options,predicted_revenue,discount_cost
1053,18.61,-0.0247735581011873,Not Persuadable,"[0, 5, 10, 15, 20, 25, 30]","[None, None, None, None, None, None, None]","[0.0, 0.93, 1.86, 2.79, 3.72, 4.65, 5.58]"
2991,44.66,0.0587530228443083,Persuadable,"[0, 5, 10, 15, 20, 25, 30]","[None, None, None, None, None, None, None]","[0.0, 2.23, 4.47, 6.7, 8.93, 11.16, 13.4]"
1789,28.27,0.0952624489917562,Persuadable,"[0, 5, 10, 15, 20, 25, 30]","[None, None, None, None, None, None, None]","[0.0, 1.41, 2.83, 4.24, 5.65, 7.07, 8.48]"
765,38.5,0.069660136558271,Persuadable,"[0, 5, 10, 15, 20, 25, 30]","[None, None, None, None, None, None, None]","[0.0, 1.93, 3.85, 5.77, 7.7, 9.62, 11.55]"
3248,44.09,-0.0812446725467527,Not Persuadable,"[0, 5, 10, 15, 20, 25, 30]","[None, None, None, None, None, None, None]","[0.0, 2.2, 4.41, 6.61, 8.82, 11.02, 13.23]"
1102,42.07,0.0649164987131628,Persuadable,"[0, 5, 10, 15, 20, 25, 30]","[None, None, None, None, None, None, None]","[0.0, 2.1, 4.21, 6.31, 8.41, 10.52, 12.62]"
1666,27.52,0.0033281797577947,Persuadable,"[0, 5, 10, 15, 20, 25, 30]","[None, None, None, None, None, None, None]","[0.0, 1.38, 2.75, 4.13, 5.5, 6.88, 8.26]"
280,49.98,-0.0580436502473346,Not Persuadable,"[0, 5, 10, 15, 20, 25, 30]","[None, None, None, None, None, None, None]","[0.0, 2.5, 5.0, 7.5, 10.0, 12.49, 14.99]"
3194,37.59,-0.0831216714503364,Not Persuadable,"[0, 5, 10, 15, 20, 25, 30]","[None, None, None, None, None, None, None]","[0.0, 1.88, 3.76, 5.64, 7.52, 9.4, 11.28]"
4045,46.56,-0.0047003030427981,Not Persuadable,"[0, 5, 10, 15, 20, 25, 30]","[None, None, None, None, None, None, None]","[0.0, 2.33, 4.66, 6.98, 9.31, 11.64, 13.97]"
2345,56.4,0.1692628514169424,Highly Persuadable,"[0, 5, 10, 15, 20, 25, 30]","[None, None, None, None, None, None, None]","[0.0, 2.82, 5.64, 8.46, 11.28, 14.1, 16.92]"
3306,34.76,-0.0132485049202405,Not Persuadable,"[0, 5, 10, 15, 20, 25, 30]","[None, None, None, None, None, None, None]","[0.0, 1.74, 3.48, 5.21, 6.95, 8.69, 10.43]"
4619,34.16,0.1271920678234772,Highly Persuadable,"[0, 5, 10, 15, 20, 25, 30]","[None, None, None, None, None, None, None]","[0.0, 1.71, 3.42, 5.12, 6.83, 8.54, 10.25]"
1695,40.04,-0.0831523704845724,Not Persuadable,"[0, 5, 10, 15, 20, 25, 30]","[None, None, None, None, None, None, None]","[0.0, 2.0, 4.0, 6.01, 8.01, 10.01, 12.01]"
1663,39.46,0.1088642294196371,Highly Persuadable,"[0, 5, 10, 15, 20, 25, 30]","[None, None, None, None, None, None, None]","[0.0, 1.97, 3.95, 5.92, 7.89, 9.87, 11.84]"
2112,57.52,0.0507758708963978,Persuadable,"[0, 5, 10, 15, 20, 25, 30]","[None, None, None, None, None, None, None]","[0.0, 2.88, 5.75, 8.63, 11.5, 14.38, 17.26]"
4518,44.66,-0.0246030433994924,Not Persuadable,"[0, 5, 10, 15, 20, 25, 30]","[None, None, None, None, None, None, None]","[0.0, 2.23, 4.47, 6.7, 8.93, 11.16, 13.4]"
890,33.36,0.0810666249704945,Persuadable,"[0, 5, 10, 15, 20, 25, 30]","[None, None, None, None, None, None, None]","[0.0, 1.67, 3.34, 5.0, 6.67, 8.34, 10.01]"
4461,55.73,-0.0089097454452085,Not Persuadable,"[0, 5, 10, 15, 20, 25, 30]","[None, None, None, None, None, None, None]","[0.0, 2.79, 5.57, 8.36, 11.15, 13.93, 16.72]"
3356,36.41,-0.123590913261267,Not Persuadable,"[0, 5, 10, 15, 20, 25, 30]","[None, None, None, None, None, None, None]","[0.0, 1.82, 3.64, 5.46, 7.28, 9.1, 10.92]"
2019,34.43,0.0775765451935169,Persuadable,"[0, 5, 10, 15, 20, 25, 30]","[None, None, None, None, None, None, None]","[0.0, 1.72, 3.44, 5.16, 6.89, 8.61, 10.33]"
